,nickname,comment,operTime,phone,rating
0,我*******,edge是最好的浏览器,"7/27/2022, 01:54",Hi nova 9,5
1,阿*******,简洁实用，比国产好用太多,"7/27/2022, 08:18",荣耀X10,5
2,曲*******,功能强大  同步速度快  运行流畅,"7/27/2022, 08:07",荣耀60Pro,5
3,对*******,可以说是国内可以使用的最简洁的支持多系统的浏览器，但是经常丢失浏览器收藏夹数据，短的一个星期会丢，长的一个多月会丢，希望可以改进,"7/27/2022, 07:09",MateX2,3
4,h*******,移动端的edge做到了较为良好的同步体验，而多页面操作的可行性也使得其相比于 chrome移动端更为便捷优越。缺少一星是因为插件问题。至于对比于百度，只能呵呵了。,"7/26/2022, 22:20",Mate40E,4
5,洋*******,非常喜欢，使用起来很顺手，不比chrome逊色,"7/26/2022, 21:53",荣耀Magic3Pro,5
6,枫*******,为什么菜单栏里“扫描二维码”变成了“图像搜索”，而且点图像搜索也不会出来 扫描的界面，只会跳到首页。\n所以扫描二维码的功能是废了吗？,"7/26/2022, 17:16",荣耀V30-Pro,3
7,清*******,非常棒的产品，就是能不能也增加一些手机端插件,"7/26/2022, 15:03",Mate40,5
8,g*******,不错的浏览器，支持网络打印。,"7/26/2022, 10:48",荣耀X10Max,5
9,穿*******,翻译功能真的不错,"7/26/2022, 07:09",P30-Pro,5
10,陈*******,非常不错，没有广告，链接打开迅速，比原来的微软浏览器强很多。,"7/25/2022, 18:01",荣耀V30,5
11,M*******,这个浏览器还可以,"7/25/2022, 17:26",华为畅享20-Pro,5
12,阿*******,什么时候可以用插件就再给一颗星,"7/25/2022, 16:39",Mate40Pro,4
13,F*******,很不错有着谷歌浏览器的开放性，能添加很多有用的插件，bing引擎很好,"7/25/2022, 15:42",荣耀10,5
14,唐*******,真的非常好用的浏览器，没有广告，还能和电脑同步。,"7/25/2022, 12:24",nova8,5
15,啊*******,要是可以同步谷歌的数据就更好了🌝,"7/25/2022, 11:24",,5
16,忠*******,没有上2个版本稳定  加载假死 主流网页中的2级页面加载失败 需要返回再加载几次才出来,"7/24/2022, 21:33",Mate40Pro,4
17,t*******,很好用，没有乱七八糟的广告，也没有强制的信息。,"7/24/2022, 20:35",P40-Pro,5
18,S*******,很不错，没有什么广告,"7/24/2022, 20:34",Hi nova 9,5
19,B*******,可以同步我在电脑上的收藏夹太棒了，全新的edge内置了最新的 Chrome ，可以达到跟 Chrome 一样的体验又增加了朗读页面种实用功能，我愿称之为现代浏览器之最,"7/24/2022, 18:16",nova5-Pro,5
20,n*******,💚💙\n优点：无广告，内核更新紧跟chrome，简洁流畅稳定，网页屏蔽误杀率小，微软口碑不担心用户隐私被滥用，最重要的是和PC版能同步数据。\n\n缺点：登录微软账号过程极慢，但这也是众所周知的不能单方面解决的问题了。另希望增加收藏夹条目手动排序的功能。,"7/24/2022, 15:50",荣耀9X,5
21,千*******,请问平板上的edge在哪换头像和换名字呢,"7/24/2022, 15:32",10.4英寸HUAWEI MatePad,3
22,豌*******,喜欢Edge 已经推荐给好几个朋友了,"7/24/2022, 14:09",Mate40Pro,5
23,彷*******,干净简单，很不错的一个浏览器。,"7/24/2022, 12:00",荣耀20Pro,5
24,d*******,简洁 没广告 流畅 推荐,"7/24/2022, 11:46",MatePad Pro 10.8英寸,5
25,王*******,咱就是说，edge就是最好用的浏览器,"7/23/2022, 20:11",荣耀20Pro,5
26,虫*******,非常的好，微软官方的应用，手机电脑平板都行，用的是微软账户，还带了广告屏蔽功能，例如搜steam，第一个就是正版steam，非常的好，推荐下载，比华为浏览器还好用。,"7/23/2022, 09:19",荣耀10,5
27,恍*******,好用，设备统一了,"7/23/2022, 08:51",荣耀10,5
28,秋*******,好干净(✪▽✪),"7/23/2022, 08:00",畅享6,5
29,与*******,不说别的，实事求是，比百度娘好用,"7/22/2022, 20:35",P30,5
30,鳳*******,很好用👍👍👍,"7/22/2022, 19:02",荣耀V30,5
31,鸳*******,终于找到能打开凹3的手机软件了,"7/22/2022, 14:59",Mate10-Pro,5
32,龙*******,使用该软件观看中国大学mooc网课视频会有黑色方块闪烁，严重影响观看体验，线下检修过了，软件bug，麻烦尽快修复,"7/22/2022, 14:58",MatePad Pro 12.6英寸,2
33,l*******,继续努力！支持插件就更好！,"7/22/2022, 10:33",Mate30Pro-5G版,5
34,木*******,播放视频有时候声音正常，但是视频卡住了，拉到多任务切换，再切回，就正常。其他还好,"7/22/2022, 07:44",P40,4
35,D*******,很好用很简单，并没有乱七八糟的广告和推送，简洁明了,"7/21/2022, 20:48",P20-Pro,5
36,张*******,提示没有安装谷歌服务，不能用。但实际可以用。怎么解决这个提示？我一直用这个浏览器。,"7/21/2022, 18:42",荣耀Magic4,5
37,P*******,相当于自带的华为浏览器，edge可以做到超干净，没有那么多资讯，然后bing搜索引擎功能虽然强大但是排版风格偏向于搜狗，不太喜欢，希望能改进～,"7/21/2022, 16:57",HUAWEI P50 Pro,5
38,h*******,国内环境目前跨平台同步做最好的浏览器,"7/21/2022, 09:38",荣耀50,5
39,B*******,非常好，很简洁，内容专业，没广告！,"7/21/2022, 06:21",荣耀70,5
40,乐*******,干净，快速，和pc联动，\n请问， 为什么不时会出现假死现象？等5~10秒自动恢复正常。\nmate40pro，鸿蒙2.0系统。,"7/21/2022, 00:16",Mate40Pro,5
41,凉*******,很棒，再把动画优化一下就完美了！\n无你不用,"7/20/2022, 23:09",荣耀50,5
42,花*******,非常好用，非常好用,"7/20/2022, 19:07",华为畅享10Plus,5
43,一*******,菜单栏能不能消停会，隔段时间就变，刚适应完就变,"7/20/2022, 18:07",荣耀30-Pro,1
44,z*******,平板上的edge怎么装扩展插件呢,"7/20/2022, 16:01",HUAWEI MatePad 11,5
45,L*******,平板上使用有bug，标签页点不了，新页面也加不了,"7/20/2022, 10:08",HUAWEI-MatePad10.8英寸,2
46,睿*******,我喜欢这个浏览器，因为它解决了chrome无法搜索的问题。,"7/20/2022, 09:57",Mate40Pro,5
47,s*******,好家伙哈哈哈哈哈,"7/20/2022, 08:24",麦芒8,5
48,啦*******,手机版的没电脑流畅，但集锦是真的好用啊😲,"7/20/2022, 07:22",华为畅享9S,5
49,梅*******,和电脑贴合紧密，功能也很全！,"7/20/2022, 01:10",10英寸HUAWEI-MatePad,5
50,Z*******,下载最新的版本之后无法登陆，一登陆就白屏！怎么更新的，程序员扣鸡腿！,"7/19/2022, 21:24",Mate30Pro-5G版,1
51,过*******,很厉害，很好用，我很喜欢,"7/19/2022, 20:18",荣耀畅玩7X,5
52,薛*******,总体来说不错，速度也快，没广告,"7/19/2022, 16:35",,5
53,破*******,不错，下载文件路径能适配最好了,"7/19/2022, 15:51",Mate40Pro,5
54,🐵*******,无法打开其他应用，麻烦进行修复，比如百度贴吧，什么值得买。,"7/19/2022, 15:25",荣耀V30-Pro,5
55,w*******,很好用，但是在我的新手机上，打开任何页面，过几秒后都会崩溃，提示“此页存在问题”，求解决,"7/19/2022, 09:21",,4
56,半*******,已发现在浏览新闻界面插入广告了。,"7/19/2022, 08:07",nova5-Pro,2
57,水*******,用起来挺好的，功能挺不错的,"7/19/2022, 07:14",nova8Pro,5
58,U*******,可以加个插件功能吗？,"7/18/2022, 22:05",HUAWEI MatePad 11,5
59,苏*******,扫码和语言不能用，权限是都给的，扫码点击就重启，语音点击就未知错误,"7/18/2022, 21:13",nova4e,5
60,发*******,功能强，使用方便，速度快。,"7/18/2022, 20:52",荣耀10,5
61,宁*******,和电脑同步功能特别好用，就是夹有点加载,"7/18/2022, 10:31",荣耀9X,5
62,开*******,手机与电脑成功同步，而且不像360那样有很多广告YYDS!!!,"7/18/2022, 06:11",8英寸华为平板M5青春版,5
63,歌*******,1.朗读功能经常读不出来或者读着读着就莫名地停了，还有不能像电脑端edge一样能打开pdf朗读。\n2.不能查看并下载页面资源，如图片、声音和视频等。\n3.广告屏蔽强度不够。\n4.希望翻译开关可以常驻菜单栏。,"7/17/2022, 21:04",荣耀9X-Pro,3
64,柒*******,根本登录不上去，一点登录就直接白屏,"7/17/2022, 20:28",荣耀10,1
65,l*******,收藏夹可以多个电脑共享，但插件无法共享。,"7/17/2022, 18:53",Mate30-5G版,5
66,狗*******,反正就是喜欢，比某360好多了,"7/17/2022, 16:20",优畅享20-5G,5
67,A*******,用着整体来说很好，但是网页不能分享给微信或者qq好友。很郁闷,"7/17/2022, 09:14",P30,5
68,曲*******,我只能说edge，yyds！！！！！！！！,"7/17/2022, 07:07",Mate30-5G版,5
69,泳*******,换手机了，重新登录输入邮箱后直接白屏，登录不了,"7/16/2022, 23:25",Mate30-Pro,1
